Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Team,League
1,2024-09-01,Matchweek 3,Home,Himad Abdelli,Nice,Y*,0.79,0.82,Right Foot,13.0,67,0-2,Marcin Bułka,,Bamba Dieng,Fouled,Pierrick Capelle,Pass (Live),,Angers,Ligue1
2,2024-09-15,Matchweek 4,Away,Bamba Dieng,Strasbourg,Y,0.46,0.75,Right Foot,10.0,62,0-1,Đorđe Petrović,Florent Hanin,Florent Hanin,Pass (Live),Farid El Melali,Pass (Live),,Angers,Ligue1
3,2024-09-22,Matchweek 5,Home,Himad Abdelli,Nantes,Y*,0.79,0.6,Right Foot,13.0,24,0-1,Alban Lafont,,Farid El Melali,Fouled,Florent Hanin,Pass (Live),,Angers,Ligue1
4,2024-09-29,Matchweek 6,Home,Zinedine Ferhat,Reims,Y,0.08,0.55,Left Foot,21.0,84,0-3,Yehvann Diouf,Farid El Melali,Farid El Melali,Pass (Live),Florent Hanin,Pass (Live),,Angers,Ligue1
5,2024-10-04,Matchweek 7,Away,Farid El Melali,Marseille,Y,0.06,0.16,Right Foot,27.0,54,0-1,Gerónimo Rulli,,Ibrahima Niane,Fouled,Farid El Melali,Interception,,Angers,Ligue1
6,2024-10-20,Matchweek 8,Away,Ibrahima Niane,Toulouse,Y,0.13,0.18,Right Foot,6.0,5,0-0,Guillaume Restes,Jordan Lefort,Jordan Lefort,Pass (Live),Florent Hanin,Pass (Live),Volley,Angers,Ligue1
7,2024-10-26,Matchweek 9,Home,Himad Abdelli,Saint-Étienne,Y*,0.8,0.84,Left Foot,8.0,7,0-0,Gautier Larsonneur,Jim Allevinah,Himad Abdelli,Take-On,Jim Allevinah,Pass (Live),,Angers,Ligue1
8,2024-10-26,Matchweek 9,Home,Jean-Eudes Aholou,Saint-Étienne,Y,0.19,0.73,Right Foot,11.0,39,1-1,Gautier Larsonneur,,Jim Allevinah,Shot,,,"Deflected, Volley",Angers,Ligue1
9,2024-10-26,Matchweek 9,Home,Ibrahima Niane,Saint-Étienne,Y,0.79,0.72,Right Foot,13.0,69,2-2,Gautier Larsonneur,,Farid El Melali,Fouled,Ibrahima Niane,Pass (Live),,Angers,Ligue1
10,2024-10-26,Matchweek 9,Home,Bamba Dieng,Saint-Étienne,N,0.38,0.27,Right Foot,12.0,90+3,3-2,Gautier Larsonneur,,Haris Belkebla,Pass (Live),Esteban Lepaul,Pass (Live),,Angers,Ligue1
1,2024-08-18,Matchweek 1,Home,Rayan Raveloson,Nice,Y,0.19,0.92,Left Foot,8.0,43,0-1,Marcin Bułka,Paul Joly,Paul Joly,Pass (Live),Elisha Owusu,Pass (Live),,Auxerre,Ligue1
2,2024-08-18,Matchweek 1,Home,Lasso Coulibaly,Nice,N,0.06,0.17,Right Foot,13.0,90+5,1-1,Marcin Bułka,Donovan Léon,Donovan Léon,Pass (Dead),Lassine Sinayoko,Fouled,Volley,Auxerre,Ligue1
